
2024/03/10 (14:06:03) | ===> btop++ v.1.3.2
2024/03/10 (14:06:03) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:06:08) | ===> btop++ v.1.3.2
2024/03/10 (14:06:08) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:06:15) | ===> btop++ v.1.3.2
2024/03/10 (14:06:15) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:06:38) | ===> btop++ v.1.3.2
2024/03/10 (14:06:38) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:06:43) | ===> btop++ v.1.3.2
2024/03/10 (14:06:43) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:12:14) | ===> btop++ v.1.3.2
2024/03/10 (14:12:14) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/03/10 (14:13:57) | ===> btop++ v.1.3.2
2024/03/10 (14:13:57) | INFO: Logger set to INFO
2024/03/10 (14:30:42) | INFO: Logger set to INFO
2024/03/10 (14:30:43) | INFO: Logger set to DEBUG
2024/03/10 (14:30:43) | INFO: Logger set to INFO
2024/03/10 (14:31:02) | INFO: Logger set to DEBUG
2024/03/10 (14:31:20) | DEBUG: Writing new config file
2024/03/10 (14:31:20) | INFO: Quitting! Runtime: 00:19:02

2024/03/10 (14:31:21) | ===> btop++ v.1.3.2
2024/03/10 (14:31:21) | INFO: Logger set to DEBUG
2024/03/10 (14:31:21) | DEBUG: Using locale en_US.UTF-8
2024/03/10 (14:31:21) | INFO: Running on /dev/pts/1
2024/03/10 (14:31:21) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/10 (14:31:21) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/03/10 (14:31:21) | DEBUG: Shared::init() : Initialized.
2024/03/10 (14:32:36) | INFO: Quitting! Runtime: 00:01:15

2024/03/10 (14:32:38) | ===> btop++ v.1.3.2
2024/03/10 (14:32:38) | INFO: Logger set to DEBUG
2024/03/10 (14:32:38) | DEBUG: Using locale en_US.UTF-8
2024/03/10 (14:32:38) | INFO: Running on /dev/pts/1
2024/03/10 (14:32:38) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/10 (14:32:38) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/03/10 (14:32:38) | DEBUG: Shared::init() : Initialized.

2024/03/10 (14:33:16) | ===> btop++ v.1.3.2
2024/03/10 (14:33:16) | INFO: Logger set to DEBUG
2024/03/10 (14:33:16) | DEBUG: Using locale en_US.UTF-8
2024/03/10 (14:33:16) | INFO: Running on /dev/pts/1
2024/03/10 (14:33:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/10 (14:33:17) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/03/10 (14:33:17) | DEBUG: Shared::init() : Initialized.
2024/03/10 (22:21:51) | DEBUG: Writing new config file
2024/03/10 (22:21:51) | ERROR: Exception during Config::unlock() : unordered_map::at
2024/03/10 (22:21:51) | INFO: Quitting! Runtime: 07:48:35

2024/03/10 (22:22:54) | ===> btop++ v.1.3.2
2024/03/10 (22:22:54) | INFO: Logger set to DEBUG
2024/03/10 (22:22:54) | DEBUG: Using locale en_US.UTF-8
2024/03/10 (22:22:54) | INFO: Running on /dev/pts/1
2024/03/10 (22:22:54) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/10 (22:22:54) | WARNING: ROCm SMI: Failed to get PCIe throughput
